,dia,pais,contaxios,mortes
56,2021-02-26,Spain,8341,329
57,2021-02-27,Spain,0,0
58,2021-02-28,Spain,0,0
59,2021-03-01,Spain,15978,467
60,2021-03-02,Spain,0,192
61,2021-03-03,Spain,6137,446
62,2021-03-04,Spain,6037,254
63,2021-03-05,Spain,6654,637
64,2021-03-06,Spain,0,0
65,2021-03-07,Spain,0,0
66,2021-03-08,Spain,11958,298
67,2021-03-09,Spain,4012,291
68,2021-03-10,Spain,7119,234
69,2021-03-11,Spain,6255,124
70,2021-03-12,Spain,5348,173
71,2021-03-13,Spain,0,0
72,2021-03-14,Spain,0,0
73,2021-03-15,Spain,11358,166
74,2021-03-16,Spain,4962,141
75,2021-03-17,Spain,6092,228
76,2021-03-18,Spain,6216,117
77,2021-03-19,Spain,0,0
78,2021-03-20,Spain,0,0
79,2021-03-21,Spain,0,0
80,2021-03-22,Spain,16471,633
81,2021-03-23,Spain,5516,201
82,2021-03-24,Spain,0,0
83,2021-03-25,Spain,13419,676
84,2021-03-26,Spain,7586,590
85,2021-03-27,Spain,0,0
86,2021-03-28,Spain,0,0
87,2021-03-29,Spain,15501,189
88,2021-03-30,Spain,4994,106
89,2021-03-31,Spain,8534,154
90,2021-04-01,Spain,7041,82
91,2021-04-02,Spain,0,0
92,2021-04-03,Spain,9571,157
93,2021-04-04,Spain,0,0
94,2021-04-05,Spain,10360,85
95,2021-04-06,Spain,6623,128
96,2021-04-07,Spain,8788,126
97,2021-04-08,Spain,9901,142
98,2021-04-09,Spain,10875,149
99,2021-04-10,Spain,0,0
100,2021-04-11,Spain,0,0
101,2021-04-12,Spain,22744,197
102,2021-04-13,Spain,6292,100
103,2021-04-14,Spain,10474,131
104,2021-04-15,Spain,9663,126
105,2021-04-16,Spain,10598,99
106,2021-04-17,Spain,0,0
107,2021-04-18,Spain,0,0
108,2021-04-19,Spain,21071,121
109,2021-04-20,Spain,0,0
110,2021-04-21,Spain,17718,262
111,2021-04-22,Spain,10814,132
112,2021-04-23,Spain,11731,95
113,2021-04-24,Spain,0,0
114,2021-04-25,Spain,0,0
115,2021-04-26,Spain,19852,147
116,2021-04-27,Spain,7665,117
117,2021-04-28,Spain,8665,88
118,2021-04-29,Spain,10143,137
119,2021-04-30,Spain,9135,136
120,2021-05-01,Spain,0,0
121,2021-05-02,Spain,0,0
122,2021-05-03,Spain,16353,77
123,2021-05-04,Spain,4515,106
124,2021-05-05,Spain,6317,167
125,2021-05-06,Spain,7960,160
126,2021-05-07,Spain,8186,66
127,2021-05-08,Spain,0,0
128,2021-05-09,Spain,0,0
129,2021-05-10,Spain,13984,103
130,2021-05-11,Spain,4941,205
131,2021-05-12,Spain,6418,108
132,2021-05-13,Spain,5701,73
133,2021-05-14,Spain,6347,58
134,2021-05-15,Spain,0,0
135,2021-05-16,Spain,0,0
136,2021-05-17,Spain,11061,93
137,2021-05-18,Spain,3988,70
138,2021-05-19,Spain,6080,66
139,2021-05-20,Spain,5733,33
140,2021-05-21,Spain,4792,19
141,2021-05-22,Spain,0,0
142,2021-05-23,Spain,0,0
143,2021-05-24,Spain,11067,91
144,2021-05-25,Spain,5359,90
145,2021-05-26,Spain,5007,54
146,2021-05-27,Spain,5290,33
147,2021-05-28,Spain,5482,17
148,2021-05-29,Spain,0,0
149,2021-05-30,Spain,0,0
150,2021-05-31,Spain,9732,48
151,2021-06-01,Spain,4388,30
152,2021-06-02,Spain,4984,66
153,2021-06-03,Spain,5250,0
154,2021-06-04,Spain,4969,146
155,2021-06-05,Spain,0,1
156,2021-06-06,Spain,0,0
157,2021-06-07,Spain,9542,40
158,2021-06-08,Spain,3504,73
159,2021-06-09,Spain,4427,23
160,2021-06-10,Spain,14004,133
161,2021-06-11,Spain,4142,36
162,2021-06-12,Spain,0,0
163,2021-06-13,Spain,0,0
164,2021-06-14,Spain,8167,16
165,2021-06-15,Spain,3432,62
166,2021-06-16,Spain,3832,36
167,2021-06-17,Spain,4197,19
168,2021-06-18,Spain,4214,18
169,2021-06-19,Spain,0,0
170,2021-06-20,Spain,0,0
171,2021-06-21,Spain,7209,37
172,2021-06-22,Spain,4040,30
173,2021-06-23,Spain,4341,29
174,2021-06-24,Spain,4507,18
175,2021-06-25,Spain,4924,13
176,2021-06-26,Spain,0,0
177,2021-06-27,Spain,0,0
178,2021-06-28,Spain,10179,10
179,2021-06-29,Spain,7091,40
180,2021-06-30,Spain,9227,46
181,2021-07-01,Spain,12345,8
182,2021-07-02,Spain,12563,28
183,2021-07-03,Spain,0,0
184,2021-07-04,Spain,0,0
185,2021-07-05,Spain,32607,23
186,2021-07-06,Spain,14137,18
187,2021-07-07,Spain,17384,17
188,2021-07-08,Spain,17317,28
189,2021-07-09,Spain,21879,6
190,2021-07-10,Spain,0,0
191,2021-07-11,Spain,0,0
192,2021-07-12,Spain,33932,17
193,2021-07-13,Spain,43960,13
194,2021-07-14,Spain,26390,10
195,2021-07-15,Spain,27688,41
196,2021-07-16,Spain,31060,12
197,2021-07-17,Spain,0,0
198,2021-07-18,Spain,0,0
199,2021-07-19,Spain,61628,23
200,2021-07-20,Spain,27286,29
201,2021-07-21,Spain,30587,18
202,2021-07-22,Spain,29535,28
203,2021-07-23,Spain,31171,27
204,2021-07-24,Spain,0,0
205,2021-07-25,Spain,0,0
206,2021-07-26,Spain,61625,47
207,2021-07-27,Spain,26399,55
208,2021-07-28,Spain,27149,73
209,2021-07-29,Spain,26689,46
210,2021-07-30,Spain,24753,44
211,2021-07-31,Spain,0,0
212,2021-08-01,Spain,0,0
213,2021-08-02,Spain,55939,157
214,2021-08-03,Spain,20327,130
215,2021-08-04,Spain,21874,71
216,2021-08-05,Spain,21387,87
217,2021-08-06,Spain,21561,75
218,2021-08-07,Spain,0,0
219,2021-08-08,Spain,0,0
220,2021-08-09,Spain,39638,119
221,2021-08-10,Spain,15680,102
222,2021-08-11,Spain,17023,93
223,2021-08-12,Spain,17410,87
224,2021-08-13,Spain,15657,63
225,2021-08-14,Spain,0,0
226,2021-08-15,Spain,0,0
227,2021-08-16,Spain,25726,125
228,2021-08-17,Spain,14336,144
229,2021-08-18,Spain,11956,144
230,2021-08-19,Spain,12445,121
231,2021-08-20,Spain,12450,132
232,2021-08-21,Spain,0,0
233,2021-08-22,Spain,0,0
234,2021-08-23,Spain,23899,201
235,2021-08-24,Spain,10072,190
236,2021-08-25,Spain,10781,163
237,2021-08-26,Spain,7115,171
238,2021-08-27,Spain,9489,139
239,2021-08-28,Spain,0,0
240,2021-08-29,Spain,0,0
241,2021-08-30,Spain,15489,146
242,2021-08-31,Spain,7767,194
243,2021-09-01,Spain,6818,132
244,2021-09-02,Spain,9561,168
245,2021-09-03,Spain,6311,155
246,2021-09-04,Spain,0,0
247,2021-09-05,Spain,0,0
248,2021-09-06,Spain,9357,133
249,2021-09-07,Spain,5528,138
250,2021-09-08,Spain,5618,81
251,2021-09-09,Spain,4763,71
252,2021-09-10,Spain,4202,80
253,2021-09-11,Spain,0,0
254,2021-09-12,Spain,0,0
255,2021-09-13,Spain,7804,103
256,2021-09-14,Spain,3261,155
257,2021-09-15,Spain,3723,90
258,2021-09-16,Spain,4075,101
259,2021-09-17,Spain,3222,44
260,2021-09-18,Spain,0,0
261,2021-09-19,Spain,0,0
262,2021-09-20,Spain,5988,118
263,2021-09-21,Spain,2450,82
264,2021-09-22,Spain,2840,102
265,2021-09-23,Spain,3031,100
266,2021-09-24,Spain,2746,44
267,2021-09-25,Spain,0,0
268,2021-09-26,Spain,0,0
269,2021-09-27,Spain,5039,69
270,2021-09-28,Spain,2290,60
271,2021-09-29,Spain,2761,39
272,2021-09-30,Spain,2400,18
273,2021-10-01,Spain,2037,48
274,2021-10-02,Spain,0,0
275,2021-10-03,Spain,0,0
276,2021-10-04,Spain,4271,64
277,2021-10-05,Spain,1801,94
278,2021-10-06,Spain,2303,57
279,2021-10-07,Spain,1807,23
280,2021-10-08,Spain,2309,77
281,2021-10-09,Spain,0,0
282,2021-10-10,Spain,0,0
283,2021-10-11,Spain,3829,49
284,2021-10-12,Spain,0,0
285,2021-10-13,Spain,2758,42
286,2021-10-14,Spain,1932,48
287,2021-10-15,Spain,2248,57
288,2021-10-16,Spain,0,0
289,2021-10-17,Spain,0,0
290,2021-10-18,Spain,4492,56
291,2021-10-19,Spain,1889,21
292,2021-10-20,Spain,2528,31
293,2021-10-21,Spain,1881,20
294,2021-10-22,Spain,2556,30
295,2021-10-23,Spain,0,0
296,2021-10-24,Spain,0,0
297,2021-10-25,Spain,4485,54
298,2021-10-26,Spain,1926,52
299,2021-10-27,Spain,2532,51
300,2021-10-28,Spain,2212,33
301,2021-10-29,Spain,2261,46
302,2021-10-30,Spain,2261,46
303,2021-10-31,Spain,0,0
304,2021-11-01,Spain,0,0
305,2021-11-02,Spain,5820,55
306,2021-11-03,Spain,2287,39
307,2021-11-04,Spain,3291,15
308,2021-11-05,Spain,3093,27
309,2021-11-06,Spain,0,0
310,2021-11-07,Spain,0,0
311,2021-11-08,Spain,6417,54
312,2021-11-09,Spain,0,0
313,2021-11-10,Spain,6461,59
314,2021-11-11,Spain,4286,30
315,2021-11-12,Spain,4353,26
316,2021-11-13,Spain,0,0
317,2021-11-14,Spain,0,0
318,2021-11-15,Spain,9798,43
319,2021-11-16,Spain,4091,29
320,2021-11-17,Spain,6667,30
321,2021-11-18,Spain,6315,29
322,2021-11-19,Spain,6636,6
323,2021-11-20,Spain,0,0
324,2021-11-21,Spain,0,0
325,2021-11-22,Spain,15875,22
326,2021-11-23,Spain,6777,34
327,2021-11-24,Spain,8527,38
328,2021-11-25,Spain,9258,27
329,2021-11-26,Spain,9912,24
330,2021-11-27,Spain,0,0
331,2021-11-28,Spain,0,0
332,2021-11-29,Spain,22911,53
333,2021-11-30,Spain,10261,44
334,2021-12-01,Spain,10536,28
335,2021-12-02,Spain,14500,42
336,2021-12-03,Spain,13738,37
337,2021-12-04,Spain,13738,37
338,2021-12-05,Spain,13738,37
339,2021-12-06,Spain,13738,37
340,2021-12-07,Spain,43808,78
341,2021-12-08,Spain,0,0
342,2021-12-09,Spain,26412,84
343,2021-12-10,Spain,17095,59
344,2021-12-11,Spain,0,1
345,2021-12-12,Spain,0,0
346,2021-12-13,Spain,49802,103
347,2021-12-14,Spain,26136,58
348,2021-12-15,Spain,27140,77
349,2021-12-16,Spain,28900,48
350,2021-12-17,Spain,33359,41
351,2021-12-18,Spain,0,0
352,2021-12-19,Spain,0,0
353,2021-12-20,Spain,79704,85
354,2021-12-21,Spain,49823,94
355,2021-12-22,Spain,60041,50
356,2021-12-23,Spain,72912,82
357,2021-12-24,Spain,72912,82
358,2021-12-25,Spain,0,0
359,2021-12-26,Spain,0,0
360,2021-12-27,Spain,214619,120
361,2021-12-28,Spain,99671,114
362,2021-12-29,Spain,100760,78
363,2021-12-30,Spain,161688,74
364,2021-12-31,Spain,161688,74
365,2021-01-01,Portugal,6951,66
366,2021-01-02,Portugal,3241,73
367,2021-01-03,Portugal,3384,73
368,2021-01-04,Portugal,4369,78
369,2021-01-05,Portugal,4956,90
370,2021-01-06,Portugal,10027,91
371,2021-01-07,Portugal,9927,95
372,2021-01-08,Portugal,10176,118
373,2021-01-09,Portugal,9478,111
374,2021-01-10,Portugal,7502,102
375,2021-01-11,Portugal,5604,122
376,2021-01-12,Portugal,7259,155
377,2021-01-13,Portugal,10556,156
378,2021-01-14,Portugal,10698,148
379,2021-01-15,Portugal,10663,159
380,2021-01-16,Portugal,10947,166
381,2021-01-17,Portugal,10385,152
382,2021-01-18,Portugal,6702,167
383,2021-01-19,Portugal,10455,218
384,2021-01-20,Portugal,14647,219
385,2021-01-21,Portugal,13544,221
386,2021-01-22,Portugal,13987,234
387,2021-01-23,Portugal,15333,274
388,2021-01-24,Portugal,11721,275
389,2021-01-25,Portugal,6923,252
390,2021-01-26,Portugal,10765,291
391,2021-01-27,Portugal,15073,293
392,2021-01-28,Portugal,16432,303
393,2021-01-29,Portugal,13200,278
394,2021-01-30,Portugal,12435,293
395,2021-01-31,Portugal,9498,303
396,2021-02-01,Portugal,5805,275
397,2021-02-02,Portugal,5540,260
398,2021-02-03,Portugal,9083,240
399,2021-02-04,Portugal,7914,225
400,2021-02-05,Portugal,6916,258
401,2021-02-06,Portugal,6132,214
402,2021-02-07,Portugal,3508,204
403,2021-02-08,Portugal,2505,196
404,2021-02-09,Portugal,2583,203
405,2021-02-10,Portugal,4387,161
406,2021-02-11,Portugal,3480,167
407,2021-02-12,Portugal,2854,149
408,2021-02-13,Portugal,2856,149
409,2021-02-14,Portugal,1677,138
410,2021-02-15,Portugal,1303,90
411,2021-02-16,Portugal,1502,111
412,2021-02-17,Portugal,2324,127
413,2021-02-18,Portugal,1944,105
414,2021-02-19,Portugal,1940,67
415,2021-02-20,Portugal,1570,76
416,2021-02-21,Portugal,1186,65
417,2021-02-22,Portugal,549,61
418,2021-02-23,Portugal,1032,63
419,2021-02-24,Portugal,1480,50
420,2021-02-25,Portugal,1160,49
421,2021-02-26,Portugal,1027,58
422,2021-02-27,Portugal,1071,33
423,2021-02-28,Portugal,718,41
424,2021-03-01,Portugal,394,34
425,2021-03-02,Portugal,691,38
426,2021-03-03,Portugal,979,41
427,2021-03-04,Portugal,830,28
428,2021-03-05,Portugal,949,28
429,2021-03-06,Portugal,1007,26
430,2021-03-07,Portugal,682,28
431,2021-03-08,Portugal,365,25
432,2021-03-09,Portugal,847,30
433,2021-03-10,Portugal,642,22
434,2021-03-11,Portugal,627,18
435,2021-03-12,Portugal,577,15
436,2021-03-13,Portugal,564,19
437,2021-03-14,Portugal,541,15
438,2021-03-15,Portugal,256,10
439,2021-03-16,Portugal,384,13
440,2021-03-17,Portugal,673,15
441,2021-03-18,Portugal,485,21
442,2021-03-19,Portugal,568,11
443,2021-03-20,Portugal,457,8
444,2021-03-21,Portugal,450,6
445,2021-03-22,Portugal,248,16
446,2021-03-23,Portugal,434,10
447,2021-03-24,Portugal,575,11
448,2021-03-25,Portugal,423,9
449,2021-03-26,Portugal,488,5
450,2021-03-27,Portugal,344,8
451,2021-03-28,Portugal,365,10
452,2021-03-29,Portugal,309,6
453,2021-03-30,Portugal,388,2
454,2021-03-31,Portugal,618,3
455,2021-04-01,Portugal,592,11
456,2021-04-02,Portugal,548,9
457,2021-04-03,Portugal,280,7
458,2021-04-04,Portugal,193,4
459,2021-04-05,Portugal,159,6
460,2021-04-06,Portugal,874,2
461,2021-04-07,Portugal,663,3
462,2021-04-08,Portugal,602,9
463,2021-04-09,Portugal,694,5
464,2021-04-10,Portugal,601,6
465,2021-04-11,Portugal,566,6
466,2021-04-12,Portugal,271,2
467,2021-04-13,Portugal,408,5
468,2021-04-14,Portugal,684,8
469,2021-04-15,Portugal,501,2
470,2021-04-16,Portugal,553,4
471,2021-04-17,Portugal,649,5
472,2021-04-18,Portugal,441,3
473,2021-04-19,Portugal,220,1
474,2021-04-20,Portugal,424,5
475,2021-04-21,Portugal,610,1
476,2021-04-22,Portugal,636,4
477,2021-04-23,Portugal,506,1
478,2021-04-24,Portugal,567,2
479,2021-04-25,Portugal,478,6
480,2021-04-26,Portugal,196,0
481,2021-04-27,Portugal,353,5
482,2021-04-28,Portugal,572,3
483,2021-04-29,Portugal,470,1
484,2021-04-30,Portugal,460,0
485,2021-05-01,Portugal,454,2
486,2021-05-02,Portugal,330,1
487,2021-05-03,Portugal,180,0
488,2021-05-04,Portugal,258,4
489,2021-05-05,Portugal,387,2
490,2021-05-06,Portugal,373,5
491,2021-05-07,Portugal,377,1
492,2021-05-08,Portugal,406,2
493,2021-05-09,Portugal,324,1
494,2021-05-10,Portugal,158,1
495,2021-05-11,Portugal,268,1
496,2021-05-12,Portugal,485,4
497,2021-05-13,Portugal,436,1
498,2021-05-14,Portugal,450,0
499,2021-05-15,Portugal,469,7
500,2021-05-16,Portugal,334,1
501,2021-05-17,Portugal,199,2
502,2021-05-18,Portugal,386,2
503,2021-05-19,Portugal,511,2
504,2021-05-20,Portugal,451,1
505,2021-05-21,Portugal,559,3
506,2021-05-22,Portugal,523,0
507,2021-05-23,Portugal,413,0
508,2021-05-24,Portugal,241,1
509,2021-05-25,Portugal,375,3
510,2021-05-26,Portugal,594,1
511,2021-05-27,Portugal,572,0
512,2021-05-28,Portugal,598,1
513,2021-05-29,Portugal,609,0
514,2021-05-30,Portugal,445,0
515,2021-05-31,Portugal,435,2
516,2021-06-01,Portugal,445,0
517,2021-06-02,Portugal,724,1
518,2021-06-03,Portugal,769,3
519,2021-06-04,Portugal,430,0
520,2021-06-05,Portugal,573,3
521,2021-06-06,Portugal,612,2
522,2021-06-07,Portugal,388,2
523,2021-06-08,Portugal,598,1
524,2021-06-09,Portugal,890,0
525,2021-06-10,Portugal,910,6
526,2021-06-11,Portugal,519,1
527,2021-06-12,Portugal,789,1
528,2021-06-13,Portugal,707,2
529,2021-06-14,Portugal,625,0
530,2021-06-15,Portugal,973,2
531,2021-06-16,Portugal,1350,6
532,2021-06-17,Portugal,1233,2
533,2021-06-18,Portugal,1298,4
534,2021-06-19,Portugal,1183,1
535,2021-06-20,Portugal,941,3
536,2021-06-21,Portugal,756,3
537,2021-06-22,Portugal,1020,6
538,2021-06-23,Portugal,1497,3
539,2021-06-24,Portugal,1556,2
540,2021-06-25,Portugal,1604,2
541,2021-06-26,Portugal,1568,2
542,2021-06-27,Portugal,1496,1
543,2021-06-28,Portugal,902,2
544,2021-06-29,Portugal,1746,6
545,2021-06-30,Portugal,2362,4
546,2021-07-01,Portugal,2449,5
547,2021-07-02,Portugal,2436,7
548,2021-07-03,Portugal,2605,4
549,2021-07-04,Portugal,2041,0
550,2021-07-05,Portugal,1483,5
551,2021-07-06,Portugal,2170,1
552,2021-07-07,Portugal,3285,8
553,2021-07-08,Portugal,3269,9
554,2021-07-09,Portugal,3194,7
555,2021-07-10,Portugal,3162,6
556,2021-07-11,Portugal,2323,8
557,2021-07-12,Portugal,1782,8
558,2021-07-13,Portugal,2650,9
559,2021-07-14,Portugal,4153,9
560,2021-07-15,Portugal,3641,5
561,2021-07-16,Portugal,3547,7
562,2021-07-17,Portugal,3677,5
563,2021-07-18,Portugal,3261,8
564,2021-07-19,Portugal,1855,8
565,2021-07-20,Portugal,2706,4
566,2021-07-21,Portugal,4376,13
567,2021-07-22,Portugal,3622,16
568,2021-07-23,Portugal,3794,16
569,2021-07-24,Portugal,3396,20
570,2021-07-25,Portugal,2625,8
571,2021-07-26,Portugal,1610,9
572,2021-07-27,Portugal,2316,6
573,2021-07-28,Portugal,3452,13
574,2021-07-29,Portugal,0,0
575,2021-07-30,Portugal,5604,24
576,2021-07-31,Portugal,0,0
577,2021-08-01,Portugal,2306,8
578,2021-08-02,Portugal,1190,9
579,2021-08-03,Portugal,2076,19
580,2021-08-04,Portugal,3203,15
581,2021-08-05,Portugal,2581,10
582,2021-08-06,Portugal,2377,18
583,2021-08-07,Portugal,2621,17
584,2021-08-08,Portugal,1982,10
585,2021-08-09,Portugal,1094,18
586,2021-08-10,Portugal,2232,17
587,2021-08-11,Portugal,2948,12
588,2021-08-12,Portugal,2708,11
589,2021-08-13,Portugal,2598,12
590,2021-08-14,Portugal,2571,12
591,2021-08-15,Portugal,2217,13
592,2021-08-16,Portugal,1135,11
593,2021-08-17,Portugal,2118,11
594,2021-08-18,Portugal,2983,17
595,2021-08-19,Portugal,2554,12
596,2021-08-20,Portugal,2507,9
597,2021-08-21,Portugal,2676,8
598,2021-08-22,Portugal,2112,9
599,2021-08-23,Portugal,1126,6
600,2021-08-24,Portugal,2261,13
601,2021-08-25,Portugal,3062,16
602,2021-08-26,Portugal,2552,15
603,2021-08-27,Portugal,2370,14
604,2021-08-28,Portugal,2374,8
605,2021-08-29,Portugal,1782,10
606,2021-08-30,Portugal,1072,9
607,2021-08-31,Portugal,1908,13
608,2021-09-01,Portugal,1565,14
609,2021-09-02,Portugal,2830,9
610,2021-09-03,Portugal,0,6
611,2021-09-04,Portugal,3535,13
612,2021-09-05,Portugal,1190,13
613,2021-09-06,Portugal,663,12
614,2021-09-07,Portugal,1231,6
615,2021-09-08,Portugal,1778,10
616,2021-09-09,Portugal,1408,10
617,2021-09-10,Portugal,1323,7
618,2021-09-11,Portugal,1223,10
619,2021-09-12,Portugal,911,8
620,2021-09-13,Portugal,458,5
621,2021-09-14,Portugal,1058,6
622,2021-09-15,Portugal,1247,10
623,2021-09-16,Portugal,1062,6
624,2021-09-17,Portugal,1023,7
625,2021-09-18,Portugal,939,7
626,2021-09-19,Portugal,677,5
627,2021-09-20,Portugal,272,7
628,2021-09-21,Portugal,780,11
629,2021-09-22,Portugal,891,8
630,2021-09-23,Portugal,885,5
631,2021-09-24,Portugal,757,9
632,2021-09-25,Portugal,713,5
633,2021-09-26,Portugal,599,2
634,2021-09-27,Portugal,230,1
635,2021-09-28,Portugal,600,7
636,2021-09-29,Portugal,755,6
637,2021-09-30,Portugal,749,7
638,2021-10-01,Portugal,696,4
639,2021-10-02,Portugal,690,7
640,2021-10-03,Portugal,449,7
641,2021-10-04,Portugal,193,7
642,2021-10-05,Portugal,730,4
643,2021-10-06,Portugal,500,4
644,2021-10-07,Portugal,731,11
645,2021-10-08,Portugal,841,8
646,2021-10-09,Portugal,704,7
647,2021-10-10,Portugal,499,7
648,2021-10-11,Portugal,327,7
649,2021-10-12,Portugal,719,8
650,2021-10-13,Portugal,828,9
651,2021-10-14,Portugal,777,6
652,2021-10-15,Portugal,766,7
653,2021-10-16,Portugal,612,10
654,2021-10-17,Portugal,465,9
655,2021-10-18,Portugal,291,3
656,2021-10-19,Portugal,832,6
657,2021-10-20,Portugal,927,3
658,2021-10-21,Portugal,865,8
659,2021-10-22,Portugal,930,8
660,2021-10-23,Portugal,883,4
661,2021-10-24,Portugal,604,4
662,2021-10-25,Portugal,313,5
663,2021-10-26,Portugal,829,3
664,2021-10-27,Portugal,965,3
665,2021-10-28,Portugal,888,5
666,2021-10-29,Portugal,844,4
667,2021-10-30,Portugal,911,3
668,2021-10-31,Portugal,763,1
669,2021-11-01,Portugal,491,5
670,2021-11-02,Portugal,450,9
671,2021-11-03,Portugal,1074,9
672,2021-11-04,Portugal,1382,4
673,2021-11-05,Portugal,1289,9
674,2021-11-06,Portugal,1197,5
675,2021-11-07,Portugal,1023,5
676,2021-11-08,Portugal,568,6
677,2021-11-09,Portugal,1182,8
678,2021-11-10,Portugal,1654,5
679,2021-11-11,Portugal,1477,9
680,2021-11-12,Portugal,1751,3
681,2021-11-13,Portugal,1816,8
682,2021-11-14,Portugal,1483,15
683,2021-11-15,Portugal,974,8
684,2021-11-16,Portugal,1693,9
685,2021-11-17,Portugal,2527,9
686,2021-11-18,Portugal,2398,12
687,2021-11-19,Portugal,2371,5
688,2021-11-20,Portugal,2333,10
689,2021-11-21,Portugal,2499,11
690,2021-11-22,Portugal,1475,18
691,2021-11-23,Portugal,2560,14
692,2021-11-24,Portugal,3773,17
693,2021-11-25,Portugal,3150,15
694,2021-11-26,Portugal,3205,8
695,2021-11-27,Portugal,3364,12
696,2021-11-28,Portugal,2897,12
697,2021-11-29,Portugal,1635,13
698,2021-11-30,Portugal,2907,11
699,2021-12-01,Portugal,4670,17
700,2021-12-02,Portugal,2898,13
701,2021-12-03,Portugal,2535,21
702,2021-12-04,Portugal,5649,22
703,2021-12-05,Portugal,3786,23
704,2021-12-06,Portugal,2216,14
705,2021-12-07,Portugal,3417,21
706,2021-12-08,Portugal,5286,15
707,2021-12-09,Portugal,3588,23
708,2021-12-10,Portugal,3742,16
709,2021-12-11,Portugal,5373,19
710,2021-12-12,Portugal,3879,13
711,2021-12-13,Portugal,2314,15
712,2021-12-14,Portugal,3591,14
713,2021-12-15,Portugal,5800,11
714,2021-12-16,Portugal,5137,19
715,2021-12-17,Portugal,4644,24
716,2021-12-18,Portugal,5062,12
717,2021-12-19,Portugal,4266,25
718,2021-12-20,Portugal,2752,18
719,2021-12-21,Portugal,5754,16
720,2021-12-22,Portugal,8937,11
721,2021-12-23,Portugal,10549,17
722,2021-12-24,Portugal,12943,11
723,2021-12-25,Portugal,10016,10
724,2021-12-26,Portugal,3732,13
725,2021-12-27,Portugal,6334,16
726,2021-12-28,Portugal,17172,19
727,2021-12-29,Portugal,26867,12
728,2021-12-30,Portugal,28659,16
729,2021-12-31,Portugal,30829,18
730,2021-01-01,France,19143,132
731,2021-01-02,France,3359,156
732,2021-01-03,France,12489,116
733,2021-01-04,France,4022,378
734,2021-01-05,France,20280,866
735,2021-01-06,France,25020,282
736,2021-01-07,France,0,0
737,2021-01-08,France,41134,865
738,2021-01-09,France,19771,167
739,2021-01-10,France,15801,151
740,2021-01-11,France,3582,310
741,2021-01-12,France,19267,741
742,2021-01-13,France,23703,229
743,2021-01-14,France,21228,282
744,2021-01-15,France,21068,636
745,2021-01-16,France,0,0
746,2021-01-17,France,37206,328
747,2021-01-18,France,3736,403
748,2021-01-19,France,23339,654
749,2021-01-20,France,26497,310
750,2021-01-21,France,22368,346
751,2021-01-22,France,22995,649
752,2021-01-23,France,23410,229
753,2021-01-24,France,18038,171
754,2021-01-25,France,4240,445
755,2021-01-26,France,21860,612
756,2021-01-27,France,26916,350
757,2021-01-28,France,0,0
758,2021-01-29,France,46043,1163
759,2021-01-30,France,23857,240
760,2021-01-31,France,19080,195
761,2021-02-01,France,4347,455
762,2021-02-02,France,22659,724
763,2021-02-03,France,25896,357
764,2021-02-04,France,0,0
765,2021-02-05,France,45287,1006
766,2021-02-06,France,19188,190
767,2021-02-07,France,19715,171
768,2021-02-08,France,4317,458
769,2021-02-09,France,18253,722
770,2021-02-10,France,25087,293
771,2021-02-11,France,20307,359
772,2021-02-12,France,0,0
773,2021-02-13,France,0,0
774,2021-02-14,France,56566,1001
775,2021-02-15,France,4376,412
